trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.35733185338616297}",20,6,-22.741076230773523,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.35518786226584603}",30,14,21.988273422586456,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.35305673509225094}",20,5,-8.338907600515505,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.3509383946816974}",20,10,-13.503294352240353,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.3488327643136072}",25,6,-21.32152178771164,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.3467397677277256}",35,0,-83.61054426714693,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.3446593291213592}",25,17,4.694988547660279,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.3425913731466311}",25,0,3.394448690528636,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.3405358249077513}",20,11,0.3267591137247303,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.33849260995830477}",20,11,-8.423795168317348,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.33646165429855496}",25,0,-63.83219913114306,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.3344428843727636}",25,8,-38.445554399700335,"{0: 14, 1: 0, 2: 0, 3: 3, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.33243622706652703}",20,8,-64.67987706199011,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.3304416097041279}",20,2,-7.670004307038652,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.3284589600459031}",25,18,12.92611238044449,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.3264882062856277}",20,2,5.514412548275681,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.3245292770479139}",25,11,25.325229297028695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.32258210138562643}",20,13,13.053885878225628,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.32064660877731266}",20,7,26.136250682099945,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.3187227291246488}",20,4,-50.109307617063855,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.3168103927499009}",25,11,2.4041106432792683,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.31490953039340147}",20,9,-11.177093835228936,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.3130200732110411}",30,15,3.7516590415991637,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.3111419527717748}",30,18,10.94511338143107,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
